"tool","indicatortype","value"
"jump cloud","domain",".api.jumpcloud.com"
"jump cloud","domain",".assist.jumpcloud.com"
"n-able advanced monitoring agent","domain","systemmonitor.co.uk"
"n-able advanced monitoring agent","domain","cloudbackup.management"
"n-able advanced monitoring agent","domain","n-able.com"
"n-able advanced monitoring agent","domain","systemmonitor.us"
"n-able advanced monitoring agent","domain","remote.management"
"n-able advanced monitoring agent","domain","logicnow.com"
"n-able advanced monitoring agent","domain","system-monitor.com"
"n-able advanced monitoring agent","domain","systemmonitor.eu.com"
"mremoteng","domain","mremoteng.org"
"senso.cloud","domain",".senso.cloud"
"senso.cloud","domain","senso.cloud"
"syspectr","domain","atled.syspectr.com"
"syspectr","domain","app.syspectr.com"
"intelliadmin remote control","domain",".intelliadmin.com"
"intelliadmin remote control","domain","intelliadmin.com/remote-control"
"any support","domain",".anysupport.net"
"deskday","domain","deskday.ai"
"deskday","domain","app.deskday.ai"
"remote desktop plus","domain","donkz.nl"
"simplehelp","domain","simple-help.com"
"isl light","domain","islonline.com"
"level","process","level.exe"
"level","process","osqueryi.exe"
"level","domain","level.io"
"level","domain","builds.level.io"
"level","domain","agents.level.io"
"level","domain","online.level.io"
"level","domain","downloads.io"
"landesk","domain",".ivanticloud.com"
"landesk","domain",".ivanti.com"
"landesk","domain","ivanti.com"
"weezo","domain",".weezo.me"
"weezo","domain","weezo.net"
"weezo","domain",".weezo.net"
"weezo","domain","weezo.en.softonic.com"
"absolute (computrace)","domain","search.namequery.com"
"absolute (computrace)","domain","server.absolute.com"
"acronis cyber protect (remotix)","domain","cloud.acronis.com"
"acronis cyber protect (remotix)","domain","gw.remotix.com"
"acronis cyber protect (remotix)","domain","connect.acronis.com"
"sorillus","domain",".sorillus.com"
"sorillus","domain","sorillus.com"
"screenmeet","domain",".screenmeet.com"
"screenmeet","domain",".scrn.mt"
"supremo","domain",".supremocontrol.com"
"netreo","domain","charon.netreo.net"
"netreo","domain","activation.netreo.net"
"netreo","domain",".api.netreo.com"
"netreo","domain","netreo.com"
"vnc","domain","realvnc.com/en/connect/download/vnc"
"dameware","domain","dameware.com"
"meshcentral","process","meshagent.exe"
"meshcentral","domain","meshcentral.com"
"crossloop","domain",".crossloop.com"
"crossloop","domain","crossloop.en.softonic.com"
"pocket controller","domain","soti.net/products/soti-pocket-controller"
"ninjarmm","domain",".ninjarmm.com"
"ninjarmm","domain",".ninjaone.com"
"ninjarmm","domain","resources.ninjarmm.com"
"ninjarmm","domain","ninjaone.com"
"ninjarmm","domain","ninjarmm.net"
"ninjarmm","domain",".ninjarmm.net"
"ninjarmm","domain","rmmservice.eu"
"ninjarmm","domain",".rmmservice.eu"
"ninjarmm","domain","rmmservice.com.au"
"ninjarmm","domain",".rmmservice.com.au"
"ninjarmm","domain","rmmservice.ca"
"ninjarmm","domain",".rmmservice.ca"
"ninjarmm","domain","ninja-backup.com"
"ninjarmm","domain",".ninja-backup.com"
"ehorus","domain","ehorus.com"
"remote manipulator system","domain",".internetid.ru"
"remote manipulator system","domain","rmansys.ru"
"fleetdeck.io","process","fleetdeck_agent_svc.exe"
"fleetdeck.io","process","fleetdeck_agent.exe"
"fleetdeck.io","domain",".fleetdeck.io"
"fleetdeck.io","domain","fleetdeck.io"
"fleetdeck.io","domain","agentmqtt.fleetdeck.io"
"fleetdeck.io","domain","checkip.zmazonaws.com"
"nomachine","domain","nomachine.com"
"netsupport manager","domain","geo.netsupportsoftware.com"
"servereye","domain",".server-eye.de"
"jump desktop","domain",".jumpdesktop.com"
"jump desktop","domain","jumpdesktop.com"
"jump desktop","domain","jumpto.me"
"jump desktop","domain",".jumpto.me"
"anydesk","domain","boot.net.anydesk.com"
"anydesk","domain","relay-[a-f0-9]{8}.net.anydesk.com:443"
"anydesk","domain",".anydesk.com"
"helpu","domain","helpu.co.kr"
"helpu","domain",".helpu.co.kr"
"tmate","domain","tmate.io"
"tmate","domain",".tmate.io"
"remotepass","domain","remotepass.com"
"chrome remote desktop","domain","remotedesktop.google.com"
"chrome remote desktop","domain","remotedesktop-pa.googleapis.com"
"chrome remote desktop","domain","remotedesktop.google.com"
"chrome remote desktop","domain","chromoting-client.talkgadget.google.com"
"chrome remote desktop","domain","chromoting-host.talkgadget.google.com"
"chrome remote desktop","domain","chromoting-oauth.talkgadget.google.com"
"remobo","domain","remobo.en.softonic.com"
"microsoft quick assist","domain",".support.services.microsoft.com"
"cloudflare tunnel","domain","cloudflare.com/products/tunnel/"
"kickidler","domain","kickidler.com"
"kickidler","domain","my.kickidler.com"
"litemanager","domain",".litemanager.ru"
"litemanager","domain",".litemanager.com"
"litemanager","domain","litemanager.com"
"tactical rmm","domain","login.tailscale.com"
"tactical rmm","domain","docs.tacticalrmm.com"
"manageengine rmm central","domain","manageengine.com/remote-monitoring-management/"
"skyfex","domain","skyfex.com"
"skyfex","domain","deskroll.com"
"skyfex","domain",".deskroll.com"
"guacamole","domain","guacamole.apache.org"
"desktopnow","domain",".nchuser.com"
"parsec","process","parsecd.exe"
"parsec","process","pservice.exe"
"parsec","process","teams.exe"
"parsec","domain","parsec.app"
"parsec","domain","parsec.gg"
"parsec","domain",".parsec.app"
"rudesktop","domain",".rudesktop.ru"
"rudesktop","domain","rudesktop.ru"
"quick assist","domain",".support.services.microsoft.com"
"tightvnc","domain","tightvnc.com"
"turbomeeting","domain","acceo.com/turbomeeting/"
"beamyourscreen","domain","beamyourscreen.com"
"beamyourscreen","domain",".beamyourscreen.com"
"netbird","process","netbird.exe"
"netbird","domain","netbird.io"
"netbird","domain",".netbird.io"
"netbird","domain","api.netbird.io"
"netbird","domain","signal.netbird.io"
"rdpwrap","domain","github.com/stascorp/rdpwrap"
"syncro","domain","kabuto.io"
"syncro","domain",".syncromsp.com"
"syncro","domain",".syncroapi.com"
"syncro","domain","syncromsp.com"
"syncro","domain","servably.com"
"syncro","domain","ld.aurelius.host"
"syncro","domain","app.kabuto.io "
"syncro","domain",".kabutoservices.com"
"syncro","domain","repairshopr.com"
"syncro","domain","kabutoservices.com"
"syncro","domain","attachments.servably.com"
"centurion","domain","centuriontech.com"
"laplink everywhere","domain","everywhere.laplink.com"
"laplink everywhere","domain","le.laplink.com"
"laplink everywhere","domain","atled.syspectr.com"
"access remote pc","process","remotepcuiu.exe"
"itarian","domain","mdmsupport.comodo.com"
"itarian","domain",".itsm-us1.comodo.com"
"itarian","domain",".cmdm.comodo.com"
"itarian","domain","remoteaccess.itarian.com"
"itarian","domain","servicedesk.itarian.com"
"eset remote administrator","domain","eset.com/me/business/remote-management/remote-administrator/"
"simplehelp","domain","51.255.19.178"
"simplehelp","domain","51.255.19.179"
"immybot","domain",".immy.bot"
"immybot","domain","immy.bot"
"ntr remote","domain",".ntrsupport.com"
"getscreen","domain","getscreen.me"
"getscreen","domain","getscreen.me"
"getscreen","domain",".getscreen.me"
"todesk","domain","todesk.com"
"todesk","domain",".todesk.com"
"todesk","domain","todesktop.com"
"fastviewer","domain",".fastviewer.com"
"fastviewer","domain","fastviewer.com"
"alpemix","domain",".alpemix.com"
"alpemix","domain",".teknopars.com"
"instant housecall","domain",".instanthousecall.com"
"instant housecall","domain","secure.instanthousecall.com"
"instant housecall","domain",".instanthousecall.net"
"instant housecall","domain","instanthousecall.com"
"screenconnect","domain","control.connectwise.com"
"screenconnect","domain",".connectwise.com"
"screenconnect","domain",".screenconnect.com"
"247ithelp.com (connectwise)","domain",".247ithelp.com"
"electric ai (kaseya)","domain","electric.ai"
"splashtop remote","domain","splashtop.com"
"splashtop remote","domain",".api.splashtop.com"
"splashtop remote","domain",".relay.splashtop.com"
"splashtop remote","domain",".api.splashtop.eu"
"royal ts","domain","royalapps.com"
"manage engine (desktop central)","domain","desktopcentral.manageengine.com"
"manage engine (desktop central)","domain","desktopcentral.manageengine.com.eu"
"manage engine (desktop central)","domain","desktopcentral.manageengine.cn"
"manage engine (desktop central)","domain",".dms.zoho.com"
"manage engine (desktop central)","domain",".dms.zoho.com.eu"
"manage engine (desktop central)","domain",".-dms.zoho.com.cn"
"qq im-remote assistance","domain",".mdt.qq.com"
"qq im-remote assistance","domain",".desktop.qq.com"
"qq im-remote assistance","domain","upload_data.qq.com"
"qq im-remote assistance","domain","qq-messenger.en.softonic.com"
"superops","domain",".superopsbeta.com"
"superops","domain","superops.ai"
"superops","domain","serv.superopsalpha.com"
